
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001349                       # Number of seconds simulated (Second)
simTicks                                   1348637000                       # Number of ticks simulated (Tick)
finalTick                                  1348637000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     32.38                       # Real time elapsed on the host (Second)
hostTickRate                                 41648967                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1463584                       # Number of bytes of host memory used (Byte)
simInsts                                      5653319                       # Number of instructions simulated (Count)
simOps                                        9969250                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   174587                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     307873                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          439273                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              4.017128                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.248934                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         305008                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                      80                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        270297                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   488                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              104372                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           207357                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             317888                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.850290                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.836980                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   243774     76.69%     76.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    14191      4.46%     81.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    11993      3.77%     84.92% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    12570      3.95%     88.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                     9814      3.09%     91.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                     9749      3.07%     95.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     7497      2.36%     97.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     4973      1.56%     98.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     3327      1.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               317888                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   3117     68.28%     68.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     68.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     68.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     68.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     68.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     68.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     68.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     68.28% # attempts to use FU when none available (Count)
