
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000324                       # Number of seconds simulated (Second)
simTicks                                    323716000                       # Number of ticks simulated (Tick)
finalTick                                   323716000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     22.42                       # Real time elapsed on the host (Second)
hostTickRate                                 14439637                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1463892                       # Number of bytes of host memory used (Byte)
simInsts                                      2134253                       # Number of instructions simulated (Count)
simOps                                        3825826                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    95200                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     170654                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          439433                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              4.018592                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.248843                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         305288                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                      80                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        270430                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   510                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              104652                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           207190                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             316443                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.854593                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.843307                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   242494     76.63%     76.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    14142      4.47%     81.10% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    11901      3.76%     84.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    12405      3.92%     88.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                     9861      3.12%     91.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                     9751      3.08%     94.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     7535      2.38%     97.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     4970      1.57%     98.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     3384      1.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               316443                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   3131     67.38%     67.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     67.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     67.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     67.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     67.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     67.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     67.38% # attempts to use FU when none available (Count)
